playlist_index,artist_name,artist_uri,album_name,album_uri,track_name,track_uri,duration_ms_x,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
37,Jason Mraz,spotify:artist:4phGZZrJZRo4ElhRtViYdl,Love Is a Four Letter Word,spotify:album:7oD9oCCtFhg5RoLtMR5TKl,I Won't Give Up,spotify:track:5ivF4eQBqJiVL5IAE9jRyl,240165,2012-04-13,66,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,audio_features,5ivF4eQBqJiVL5IAE9jRyl,https://api.spotify.com/v1/tracks/5ivF4eQBqJiVL5IAE9jRyl,https://api.spotify.com/v1/audio-analysis/5ivF4eQBqJiVL5IAE9jRyl,240166,3
38,Lewis Capaldi,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB,Divinely Uninspired To A Hellish Extent (Extended Edition),spotify:album:2wiPF3m0ylst0JSk1IvZL8,Before You Go,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,215106,2019-11-22,83,0.459,0.574,3,-4.857,1,0.0577,0.608,0.0,0.0885,0.183,111.881,audio_features,2gMXnyrvIjhVBUZwvLZDMP,https://api.spotify.com/v1/tracks/2gMXnyrvIjhVBUZwvLZDMP,https://api.spotify.com/v1/audio-analysis/2gMXnyrvIjhVBUZwvLZDMP,215107,4
39,Lewis Capaldi,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB,Divinely Uninspired To A Hellish Extent,spotify:album:5658aM19fA3JVwTK6eQX70,Someone You Loved,spotify:track:7qEHsqek33rTcFNT9PFqLf,182160,2019-05-17,87,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,audio_features,7qEHsqek33rTcFNT9PFqLf,https://api.spotify.com/v1/tracks/7qEHsqek33rTcFNT9PFqLf,https://api.spotify.com/v1/audio-analysis/7qEHsqek33rTcFNT9PFqLf,182161,4
40,Adele,spotify:artist:4dpARuHxo51G3z768sgnrY,21,spotify:album:0Lg1uZvI312TPqxNWShFXL,Someone Like You,spotify:track:1zwMYTA5nlNjZxYrvBB2pV,285240,2011-01-24,77,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,audio_features,1zwMYTA5nlNjZxYrvBB2pV,https://api.spotify.com/v1/tracks/1zwMYTA5nlNjZxYrvBB2pV,https://api.spotify.com/v1/audio-analysis/1zwMYTA5nlNjZxYrvBB2pV,285240,4
41,Radiohead,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,OK Computer,spotify:album:6dVIqQ8qmQ5GBnJ9shOYGE,Karma Police,spotify:track:63OQupATfueTdZMWTxW03A,264066,1997-05-28,77,0.36,0.501,7,-9.129,1,0.0258,0.0638,9.32e-05,0.172,0.324,74.807,audio_features,63OQupATfueTdZMWTxW03A,https://api.spotify.com/v1/tracks/63OQupATfueTdZMWTxW03A,https://api.spotify.com/v1/audio-analysis/63OQupATfueTdZMWTxW03A,264067,4
42,Coldplay,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,A Rush of Blood to the Head,spotify:album:0RHX9XECH8IVI3LNgWDpmQ,The Scientist,spotify:track:75JFxkI2RXiU7L9VXzMkle,309600,2002-08-08,84,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,audio_features,75JFxkI2RXiU7L9VXzMkle,https://api.spotify.com/v1/tracks/75JFxkI2RXiU7L9VXzMkle,https://api.spotify.com/v1/audio-analysis/75JFxkI2RXiU7L9VXzMkle,309600,4
43,Coldplay,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,X&Y,spotify:album:4E7bV0pzG0LciBSWTszra6,Fix You,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,295533,2005-06-07,82,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,audio_features,7LVHVU3tWfcxj5aiPFEW4Q,https://api.spotify.com/v1/tracks/7LVHVU3tWfcxj5aiPFEW4Q,https://api.spotify.com/v1/audio-analysis/7LVHVU3tWfcxj5aiPFEW4Q,295533,4
44,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Hozier,spotify:album:0Uv83rRhY5QvHKkQoULRKk,Take Me To Church,spotify:track:3dYD57lRAUcMHufyqn9GcI,241688,2014-09-19,83,0.575,0.664,4,-5.303,0,0.0481,0.637,0.0,0.116,0.437,129.071,audio_features,3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
45,Jason Mraz,spotify:artist:4phGZZrJZRo4ElhRtViYdl,We Sing. We Dance. We Steal Things. (Bonus Tracks Version),spotify:album:1UwzOp5hn3lAbOqsAfXBw8,I'm Yours,spotify:track:3S0OXQeoh0w6AY8WQVckRW,242946,2008-05-01,77,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,audio_features,3S0OXQeoh0w6AY8WQVckRW,https://api.spotify.com/v1/tracks/3S0OXQeoh0w6AY8WQVckRW,https://api.spotify.com/v1/audio-analysis/3S0OXQeoh0w6AY8WQVckRW,242947,4
46,Coldplay,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,Parachutes,spotify:album:6ZG5lRT77aJ3btmArcykra,Yellow,spotify:track:3AJwUDP919kvQ9QcozQPxg,266773,2000-07-10,88,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,audio_features,3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/audio-analysis/3AJwUDP919kvQ9QcozQPxg,266773,4
47,Michael Christopher,spotify:artist:14uW1kEBQAu0Hd4MvujeKm,I Won't Give Up - Single,spotify:album:4Yni7JTnpWFFfA2RMbPo3P,I Won't Give Up,spotify:track:6fxqMAzYXelM8x4N77UeOz,245001,2012-01-25,36,0.431,0.275,4,-8.139,1,0.0298,0.773,0.0,0.0863,0.219,107.105,audio_features,6fxqMAzYXelM8x4N77UeOz,https://api.spotify.com/v1/tracks/6fxqMAzYXelM8x4N77UeOz,https://api.spotify.com/v1/audio-analysis/6fxqMAzYXelM8x4N77UeOz,245001,5
48,The Calling,spotify:artist:5aMmmNxw4vgpc5XC6hK0zp,Camino Palmero,spotify:album:2Ir1mtE8K61cCNY5WQyKGV,Wherever You Will Go,spotify:track:5QpaGzWp0hwB5faV8dkbAz,208600,2001,75,0.558,0.719,2,-5.113,1,0.0267,0.0367,0.0,0.115,0.371,112.027,audio_features,5QpaGzWp0hwB5faV8dkbAz,https://api.spotify.com/v1/tracks/5QpaGzWp0hwB5faV8dkbAz,https://api.spotify.com/v1/audio-analysis/5QpaGzWp0hwB5faV8dkbAz,208600,4
